
 0.0002300 0.0022900
 0.0046800 0.0115500
 0.0137100 0.0218300
 0.0271400 0.0326100
 0.0448700 0.0434800
 0.0667400 0.0541600
 0.0925800 0.0644100
 0.1221600 0.0740100
 0.1552100 0.0827700
 0.1914500 0.0905500
 0.2305100 0.0972000
 0.2720500 0.1026200
 0.3156400 0.1067000
 0.3608700 0.1093800
 0.4072700 0.1106000
 0.4563700 0.1102900
 0.5016700 0.1084000
 0.5486900 0.1048200
 0.5949700 0.0993700
 0.6404300 0.0916700
 0.6854900 0.0819700
 0.7300800 0.0712200
 0.7735300 0.0602000
 0.8151200 0.0494200
 0.8540700 0.0392700
 0.8896400 0.0300500
 0.9211000 0.0219300
 0.9477400 0.0149100
 0.9692300 0.0088100
 0.9855700 0.0039100
 0.9962300 0.0009200
 1.0000000 0.0000000
